observation_date,CXUTOTALEXPLB0102M
1984-01-01,10894
1985-01-01,11417
1986-01-01,11477
1987-01-01,10355
1988-01-01,10893
1989-01-01,12119
1990-01-01,12909
1991-01-01,13464
1992-01-01,12643
1993-01-01,13957
1994-01-01,14356
1995-01-01,14607
1996-01-01,15896
1997-01-01,16008
1998-01-01,16630
1999-01-01,16750
2000-01-01,17940
2001-01-01,18883
2002-01-01,19061
2003-01-01,18492
2004-01-01,17837
2005-01-01,19120
2006-01-01,20410
2007-01-01,20471
2008-01-01,22304
2009-01-01,21611
2010-01-01,20953
2011-01-01,22001
2012-01-01,22154
2013-01-01,22393
2014-01-01,23713
2015-01-01,24470
2016-01-01,25138
2017-01-01,26019
2018-01-01,26399
2019-01-01,28672
2020-01-01,28732
2021-01-01,30869
2022-01-01,32618
2023-01-01,33776
2024-01-01,35046
