observation_date,CXUTOTALEXPLB0106M
1984-01-01,41825
1985-01-01,45166
1986-01-01,46242
1987-01-01,46470
1988-01-01,48718
1989-01-01,53093
1990-01-01,55437
1991-01-01,57597
1992-01-01,57981
1993-01-01,59521
1994-01-01,60803
1995-01-01,62639
1996-01-01,66794
1997-01-01,66800
1998-01-01,70648
1999-01-01,75015
2000-01-01,75102
2001-01-01,77125
2002-01-01,79199
2003-01-01,81731
2004-01-01,83710
2005-01-01,90469
2006-01-01,94150
2007-01-01,96752
2008-01-01,97003
2009-01-01,94244
2010-01-01,92870
2011-01-01,94551
2012-01-01,99368
2013-01-01,99237
2014-01-01,104363
2015-01-01,110508
2016-01-01,112221
2017-01-01,116988
2018-01-01,118781
2019-01-01,121571
2020-01-01,114839
2021-01-01,128213
2022-01-01,140657
2023-01-01,150093
2024-01-01,150342
