observation_date,CXUTOTALEXPLB0104M
1984-01-01,19469
1985-01-01,20374
1986-01-01,21088
1987-01-01,21708
1988-01-01,23290
1989-01-01,24476
1990-01-01,24687
1991-01-01,26144
1992-01-01,26573
1993-01-01,26603
1994-01-01,28513
1995-01-01,29125
1996-01-01,30402
1997-01-01,31447
1998-01-01,31400
1999-01-01,33029
2000-01-01,34716
2001-01-01,35660
2002-01-01,36881
2003-01-01,36213
2004-01-01,36980
2005-01-01,39098
2006-01-01,41431
2007-01-01,42447
2008-01-01,42659
2009-01-01,41150
2010-01-01,41212
2011-01-01,42403
2012-01-01,43004
2013-01-01,42495
2014-01-01,45395
2015-01-01,45912
2016-01-01,47664
2017-01-01,50470
2018-01-01,51729
2019-01-01,53045
2020-01-01,51554
2021-01-01,55914
2022-01-01,61956
2023-01-01,65487
2024-01-01,66900
