observation_date,CXUTOTALEXPLB0103M
1984-01-01,14337
1985-01-01,15092
1986-01-01,14639
1987-01-01,15686
1988-01-01,16880
1989-01-01,17616
1990-01-01,17927
1991-01-01,18986
1992-01-01,19257
1993-01-01,19712
1994-01-01,20891
1995-01-01,22126
1996-01-01,22799
1997-01-01,23558
1998-01-01,23709
1999-01-01,24840
2000-01-01,26550
2001-01-01,26492
2002-01-01,27140
2003-01-01,26729
2004-01-01,27410
2005-01-01,28921
2006-01-01,30224
2007-01-01,31150
2008-01-01,31751
2009-01-01,31382
2010-01-01,30285
2011-01-01,32092
2012-01-01,32632
2013-01-01,32559
2014-01-01,33546
2015-01-01,35063
2016-01-01,36770
2017-01-01,39300
2018-01-01,39968
2019-01-01,40472
2020-01-01,39899
2021-01-01,43918
2022-01-01,47665
2023-01-01,48923
2024-01-01,50054
