pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"HIP 63242 b","HIP 63242","Radial Velocity",2013,124.60000000000,12.50000000,2917.56000000,0.5650000000,993.26,4830.00,10.275655,1.540000,156.45600000
"EPIC 212297394 b","EPIC 212297394","Transit",2019,2.28936300000,1.48000000,2.79000000,,1149.00,5171.00,0.800000,0.830000,418.39500000
"HD 45652 b","HD 45652","Radial Velocity",2008,44.07300000000,14.30000000,137.62039000,0.2370000000,508.40,5294.00,0.940000,0.920000,34.85410000
"Kepler-1646 b","Kepler-1646","Transit",2016,4.48558383000,1.23000000,2.04000000,0.0295000000,365.00,3299.00,0.260000,0.240000,127.59100000
"HD 102843 b","HD 102843","Radial Velocity",2019,3090.94200000000,13.10000000,113.90000000,4.0740000000,127.34,5436.00,0.961488,0.950000,62.75800000
"HD 192699 b","HD 192699","Radial Velocity",2007,340.94000000000,13.40000000,666.17168000,1.0630000000,495.11,5041.00,4.410000,1.380000,71.86270000
"TIC 65612701 b","TIC 65612701","Transit",2026,10.22467974953,5.07802804,22.70000000,,,5692.29,1.737090,1.060000,151.62400000
"TOI-4747 b","TOI-4747","Transit",2026,5.21924158592,3.95803201,14.80000000,,1035.00,5595.08,0.988751,1.010000,304.61500000
"K2-201 b","K2-201","Transit",2018,1.05979000000,1.40006712,2.54000000,,,5507.00,0.878161,0.956055,197.93200000
"2MASS J22362452+4751425 b","2MASS J22362452+4751425","Imaging",2016,,12.30000000,3972.87500000,230.0000000000,10.30,4045.00,0.641152,0.600000,69.57370000
"USco1621 b","USco1621 A","Imaging",2019,,12.20000000,5085.28000000,2880.0000000000,2270.00,3460.00,0.710071,0.360000,137.90100000
"GJ 876 d","GJ 876","Radial Velocity",2005,1.93778000000,2.51000000,6.83000000,0.0208066500,603.09,3293.74,0.300000,0.320000,4.67517000
"Kepler-1130 c","Kepler-1130","Transit",2021,3.26663994800,0.79239584,0.42200000,0.0423800000,1072.00,5450.00,0.842000,0.944000,249.34300000
"K2-24 b","K2-24","Transit",2016,20.88977000000,5.40000000,19.00000000,0.1540000000,686.00,5625.00,1.160000,1.070000,170.56200000
"Kepler-106 b","Kepler-106","Transit",2014,6.16486000000,0.82000000,5.30000000,0.0649100000,1021.00,5858.00,1.040000,1.000000,444.32200000
"TOI-469.01","TOI-469","Transit",2021,13.63082050000,3.41000000,9.10000000,0.1110000000,716.00,5289.00,0.980000,0.901000,68.19200000
"Kepler-1705 c","Kepler-1705","Transit",2021,11.28000000000,2.05000000,5.42000000,,,6312.00,1.259000,1.139000,1633.49000000
"Kepler-1580 b","Kepler-1580","Transit",2016,56.64492790000,2.11000000,5.10000000,0.3357100000,733.00,6228.00,2.150000,1.470000,1002.02000000
"Kepler-1365 b","Kepler-1365","Transit",2016,7.69993485000,0.92000000,0.72100000,0.0783900000,969.00,5770.00,1.050000,1.000000,840.12800000
"Kepler-1521 b","Kepler-1521","Transit",2016,47.14840805000,2.50000000,6.80000000,0.2347600000,391.00,5042.00,0.760000,0.810000,206.98300000
